Kagua,Small airport,Kagua,Papua New Guinea,AGK,,
Wanigela,Small airport,,Papua New Guinea,AGL,AYWG,
Tasiilaq,Heliport,Tasiilaq,Greenland,AGM,BGAM,
Angoon,Seaplane base,Angoon,United States,AGN,PAGN,AGN
Magnolia Municipal,Small airport,Magnolia,United States,AGO,KAGO,AGO
M?aga,Large airport,M?aga,Spain,AGP,LEMG,
Agrinion Air Base잺losed,Closed,Agrinion,Greece,AGQ,LGAG,
Agra,Medium airport,,India,AGR,VIAG,
Augusta Regional At Bush Field,Large airport,Augusta,United States,AGS,KAGS,AGS
Guarani International,Medium airport,Ciudad del Este,Paraguay,AGT,SGES,
Jes? Ter? Paredo International,Medium airport,Aguascalientes,Mexico,AGU,MMAS,
Oswaldo Guevara Mujica,Medium airport,Acarigua,Venezuela,AGV,SVAC,
Agnew,Small airport,Agnew,Australia,AGW,,
Agatti,Medium airport,,India,AGX,VOAT,
Argyle Downs잺losed,Closed,Argyle Downs,Australia,AGY,,
Aggeneys,Medium airport,Aggeneys,South Africa,AGZ,FAAG,
Abha Regional,Medium airport,Abha,Saudi Arabia,AHB,OEAB,
Amedee Army Air Field,Small airport,Herlong,United States,AHC,KAHC,AHC
Ardmore Downtown Executive,Small airport,Ardmore,United States,AHD,,1F0
Ahe,Medium airport,Ahe Atoll,French Polynesia,AHE,NTHE,
Arapahoe Municipal,Small airport,Arapahoe,United States,AHF,,37V
Amery Municipal,Small airport,Amery,United States,AHH,KAHH,AHH
Amahai,Small airport,Amahai-Seram Island,Indonesia,AHI,WAPA,
Hongyuan,Medium airport,Aba,China,AHJ,ZUHY,
Aishalton,Small airport,Aishalton,Guyana,AHL,SYAH,
Ashland Municipal Sumner Parker Field,Small airport,Ashland,United States,AHM,KS03,S03
Athens Ben Epps,Medium airport,Athens,United States,AHN,KAHN,AHN
Alghero-Fertilia,Medium airport,Alghero,Italy,AHO,LIEA,
Ahuas,Small airport,Ahuas,Honduras,AHS,MHAH,
Amchitka Army Airfield잺losed,Closed,Amchitka Island,United States,AHT,,
Cherif Al Idrissi,Medium airport,Al Hoceima,Morocco,AHU,GMTA,
Ambatolhy잺losed,Closed,Ambatolahy,Madagascar,AHY,,
Altiport L'Alpe d'Huez - Henri GIRAUD,Small airport,L'Alpe d'Huez,France,AHZ,LFHU,
Alliance Municipal,Small airport,Alliance,United States,AIA,KAIA,AIA
Anita Bay잺losed,Closed,Anita Bay,United States,AIB,,
Ailinglaplap Airok잺losed,Closed,Bigatyelang Island,Marshall Islands,AIC,,
Anderson Municipal Darlington Field,Small airport,Anderson,United States,AID,KAID,AID
Aiome,Small airport,Aiome,Papua New Guinea,AIE,AYAO,
Marcelo Pires Halzhausen,Small airport,Assis,Brazil,AIF,SNAX,
Yalinga,Small airport,Yalinga,Central African Republic,AIG,FEFY,
Aiambak,Small airport,Aiambak,Papua New Guinea,AIH,AYAK,
Ali-Sabieh,Small airport,Ali-Sabieh,Djibouti,AII,HDAS,
Aiken Municipal,Small airport,Aiken,United States,AIK,KAIK,AIK
Alligandi,Small airport,Alligandi,Panama,AIL,,
Ailuk,Small airport,Ailuk Island,Marshall Islands,AIM,,
Wainwright,Medium airport,Wainwright,United States,AIN,PAWI,AWI
Atlantic Municipal,Small airport,Atlantic,United States,AIO,KAIO,AIO
Aripuan?Closed,Closed,Aripuan?Brazil,AIR,SWRP,,
Arorae Island,Small airport,Arorae Island,Kiribati,AIS,NGTR,
Aitutaki,Small airport,Aitutaki,Cook Islands,AIT,NCAI,
Enua,Small airport,Atiu Island,Cook Islands,AIU,NCAT,
George Downer,Small airport,Aliceville,United States,AIV,KAIV,AIV
Ai-Ais,Small airport,Ai-Ais,Namibia,AIW,FYAA,
Atlantic City Municipal Bader Field잺losed,Closed,Atlantic City,United States,AIY,KAIY,
Lee C Fine Memorial,Small airport,Kaiser Lake Ozark,United States,AIZ,KAIZ,AIZ
Ajaccio-Napol?n Bonaparte,Medium airport,Ajaccio/Napol?n Bonaparte,France,AJA,LFKJ,
Al-Jawf Domestic,Medium airport,Al-Jawf,Saudi Arabia,AJF,OESK,
A?r?,Medium airport,,Turkey,AJI,LTCO,
Akjoujt,Small airport,Akjoujt,Mauritania,AJJ,GQNJ,
Arak,Small airport,Araak,Iran,AJK,OIHR,
Lengpui,Medium airport,Aizawl,India,AJL,VELP,
Airport,Type,City,Country,IATA,ICAO,FAA
Ouani,Medium airport,Ouani,Comoros,AJN,FMCV,
Aljouf잺losed,Closed,Aljouf,Yemen,AJO,,
Arvidsjaur,Medium airport,Arvidsjaur,Sweden,AJR,ESNX,
Abreojos,Small airport,Abreojos,Mexico,AJS,,
Santa Maria,Medium airport,Aracaju,Brazil,AJU,SBAR,
Mano Dayak International,Medium airport,Agadez,Niger,AJY,DRZA,
Ankang Wulipu,Small airport,Ankang,China,AKA,ZLAK,
Atka,Small airport,Atka,United States,AKB,PAAK,AKA
Akron Fulton International,Medium airport,Akron,United States,AKC,KAKR,AKR
Akola,Medium airport,,India,AKD,VAAK,
Akieni,Small airport,Akieni,Gabon,AKE,FOGA,
Kufra,Medium airport,Kufra,Libya,AKF,HLKF,
Anguganak,Small airport,Anguganak,Papua New Guinea,AKG,AYGU,
Prince Sultan Air Base,Medium airport,,Saudi Arabia,AKH,OEPS,
Akiak,Small airport,Akiak,United States,AKI,PFAK,AKI
Asahikawa,Medium airport,Asahikawa / Hokkaid?,Japan,AKJ,RJEC,
Akhiok,Small airport,Akhiok,United States,AKK,PAKH,AKK
Auckland International,Large airport,Auckland,New Zealand,AKL,NZAA,
Zakuoma,Small airport,ZaKouma,Chad,AKM,,
King Salmon,Medium airport,King Salmon,United States,AKN,PAKN,AKN
Colorado Plains Regional,Small airport,Akron,United States,AKO,KAKO,AKO
Anaktuvuk Pass,Medium airport,Anaktuvuk Pass,United States,AKP,PAKP,AKP
Gunung Batin,Small airport,Astraksetra-Sumatra Island,Indonesia,AKQ,,
Akure,Medium airport,Akure,Nigeria,AKR,DNAK,
Auki,Small airport,Auki,Solomon Islands,AKS,AGGA,
RAF Akrotiri,Large airport,Akrotiri,Cyprus,AKT,LCRA,
Aksu,Medium airport,Aksu,China,AKU,ZWAK,
Akulivik,Medium airport,Akulivik,Canada,AKV,CYKO,
Aghajari,Medium airport,Aghajari,Iran,AKW,OIAG,
Aktobe,Medium airport,Aktyuinsk,Kazakhstan,AKX,UATT,
Sittwe,Medium airport,Sittwe,Burma,AKY,VYSW,
Almaty,Large airport,Almaty,Kazakhstan,ALA,UAAA,
Albany International,Medium airport,Albany,United States,ALB,KALB,ALB
Alicante International,Large airport,Alicante,Spain,ALC,LEAL,
Alerta,Small airport,Fortaleza,Per?ALD,SPAR,,
Alpine Casparis Municipal,Small airport,Alpine,United States,ALE,,E38
Alta,Medium airport,Alta,Norway,ALF,ENAT,
Houari Boumediene,Large airport,Algiers,Algeria,ALG,DAAG,
Albany,Medium airport,Albany,Australia,ALH,YABA,
Alice International,Medium airport,Alice,United States,ALI,KALI,ALI
Alexander Bay,Medium airport,Alexander Bay,South Africa,ALJ,FAAB,
Asela잺losed,Closed,Asela,Ethiopia,ALK,,
Villanova D'Albenga International,Medium airport,Albenga (SV),Italy,ALL,LIMG,
Alamogordo White Sands Regional,Medium airport,Alamogordo,United States,ALM,KALM,ALM
St Louis Regional,Medium airport,Alton/St Louis,United States,ALN,KALN,ALN
Waterloo Regional,Medium airport,Waterloo,United States,ALO,KALO,ALO
Aleppo International,Large airport,Aleppo,Syria,ALP,OSAP,
Alegrete Novo,Small airport,Alegrete,Brazil,ALQ,SSLT,
Alexandra,Medium airport,Alexandra,New Zealand,ALR,NZLX,
San Luis Valley Regional Bergman Field,Medium airport,Alamosa,United States,ALS,KALS,ALS
Alenquer,Small airport,Alenquer,Brazil,ALT,SDWQ,
Alula,Small airport,Alula,Somalia,ALU,HCMA,
Walla Walla Regional,Medium airport,Walla Walla,United States,ALW,KALW,ALW
Thomas C Russell Field,Small airport,Alexander City,United States,ALX,KALX,ALX
El Nouzha,Medium airport,Alexandria,Egypt,ALY,HEAX,
Alitak,Seaplane base,Lazy Bay,United States,ALZ,,ALZ
Rick Husband Amarillo International,Large airport,Amarillo,United States,AMA,KAMA,AMA
Ambilobe,Small airport,,Madagascar,AMB,FMNE,
Am Timan,Small airport,Am Timan,Chad,AMC,FTTN,
Sardar Vallabhbhai Patel International,Medium airport,Ahmedabad,India,AMD,VAAH,
Alto Molocue,Small airport,Alto Molocue,Mozambique,AME,,
Ama,Small airport,,Papua New Guinea,AMF,AYAA,
Amboin잺losed,Closed,Amboin,Papua New Guinea,AMG,,
Arba Minch,Medium airport,,Ethiopia,AMH,HAAM,
Selaparang,Small airport,Mataram-Lombok Island,Indonesia,AMI,WADA,
Cirilo Queir?,Small airport,Almenara,Brazil,AMJ,SNAR,
Animas Air Park,Small airport,Durango,United States,AMK,,00C
Puerto Armuelles잺losed,Closed,Puerto Armuelles,Panama,AML,,
Queen Alia International,Large airport,Amman,Jordan,AMM,OJAI,
Gratiot Community,Small airport,Alma,United States,AMN,KAMN,AMN
Mao,Small airport,Mao,Chad,AMO,FTTU,
Ampanihy,Small airport,Ampanihy,Madagascar,AMP,FMSY,
"Pattimura, Ambon",Medium airport,Ambon,Indonesia,AMQ,WAPP,
Arno잺losed,Closed,Arno,Marshall Islands,AMR,,
Amsterdam Schiphol,Large airport,Amsterdam,Netherlands,AMS,EHAM,
Amata,Small airport,,Australia,AMT,YAMT,
Amanab,Small airport,Amanab,Papua New Guinea,AMU,AYAM,
Amderma,Medium airport,Amderma,Russia,AMV,ULDD,
Ames Municipal,Small airport,Ames,United States,AMW,KAMW,AMW
Ammaroo,Small airport,,Australia,AMX,YAMM,
Ambatomainty,Small airport,,Madagascar,AMY,,
Ardmore,Medium airport,Manurewa,New Zealand,AMZ,NZAR,
Anaheim잺losed,Closed,"Anaheim, CA",United States,ANA,,
Anniston Metropolitan,Medium airport,Anniston,United States,ANB,KANB,ANB
Ted Stevens Anchorage International,Large airport,Anchorage,United States,ANC,PANC,ANC
Anderson Regional,Medium airport,Anderson,United States,AND,KAND,AND
Angers-Loire,Medium airport,Angers/Marc?France,ANE,LFJR,,
Cerro Moreno,Medium airport,Antofagasta,Chile,ANF,SCFA,
Angoul?e-Brie-Champniers,Medium airport,Angoul?e/Brie/Champniers,France,ANG,LFBU,
Anuha Island Resort잺losed,Closed,Anhua Island,Solomon Islands,ANH,,
Aniak,Medium airport,Aniak,United States,ANI,PANI,ANI
Zanaga,Small airport,Zanaga,Congo (Brazzaville),ANJ,FCBZ,
Etimesgut Air Base,Medium airport,Ankara,Turkey,ANK,LTAD,
Andulo,Small airport,,Angola,ANL,,
Antsirabato,Medium airport,,Madagascar,ANM,FMNH,
Annette Island,Medium airport,Annette,United States,ANN,PANT,ANN
Angoche,Small airport,Angoche,Mozambique,ANO,FQAG,
Lee,Small airport,Annapolis,United States,ANP,KANP,ANP
Tri State Steuben County,Small airport,Angola,United States,ANQ,KANQ,ANQ
Antwerp International (Deurne),Medium airport,Antwerp,Belgium,ANR,EBAW,
Andahuaylas,Small airport,Andahuaylas,Per?ANS,SPHY,,
St Anton잺losed,Closed,St Anton,Austria,ANT,,
V.C. Bird International,Medium airport,St. George,Antigua and Barbuda,ANU,TAPA,
Anvik,Medium airport,Anvik,United States,ANV,PANV,ANV
Ainsworth Municipal,Small airport,Ainsworth,United States,ANW,KANW,ANW
And?a,Medium airport,Andenes,Norway,ANX,ENAN,
Anthony Municipal,Small airport,Anthony,United States,ANY,KANY,ANY
Angus Downs잺losed,Closed,Angus Downs Station,Australia,ANZ,,
Aroa잺losed,Closed,Agevairu,Papua New Guinea,AOA,,
Annanberg,Small airport,,Papua New Guinea,AOB,,
Altenburg-Nobitz,Medium airport,Altenburg,Germany,AOC,EDAC,
Abou-De?,Small airport,Abou-De?,Chad,AOD,,
Anadolu,Medium airport,Eski?ehir,Turkey,AOE,LTBY,
Anshan Air Base,Medium airport,Anshan,China,AOG,ZYAS,
Lima Allen County,Small airport,Lima,United States,AOH,KAOH,AOH
Ancona Falconara,Medium airport,Ancona,Italy,AOI,LIPY,
Aomori,Medium airport,Aomori,Japan,AOJ,RJSA,
Karpathos,Medium airport,Karpathos Island,Greece,AOK,LGKP,
Paso De Los Libres,Medium airport,Paso de los Libres,Argentina,AOL,SARL,
Adam,Small airport,Adam,Oman,AOM,,
Arona잺losed,Closed,Arona,Papua New Guinea,AON,,
Altoona Blair County,Medium airport,Altoona,United States,AOO,KAOO,AOO
Alferez FAP Alfredo Vladimir Sara Bauer,Small airport,Andoas,Per?AOP,SPAS,,
Sultan Abdul Halim,Medium airport,Alor Satar,Malaysia,AOR,WMKA,
Amook Bay,Seaplane base,Amook Bay,United States,AOS,AK81,AK81
Aosta,Medium airport,Aosta,Italy,AOT,LIMW,
Attopeu,Small airport,Attopeu,Laos,AOU,VLAP,
Centennial,Medium airport,Denver,United States,APA,KAPA,APA
Apolo,Small airport,Apolo,Bolivia,APB,SLAP,
Napa County,Small airport,Napa,United States,APC,KAPC,APC
San Juan Aposento,Small airport,San Juan Aposento,Per?APE,SPAO,,
Naples Municipal,Medium airport,Naples,United States,APF,KAPF,APF
Phillips Army Air Field,Medium airport,Aberdeen Proving Grounds(Aberdeen),United States,APG,KAPG,APG
A P Hill AAF (Fort A P Hill),Small airport,Fort A. P. Hill,United States,APH,KAPH,APH
Gomez Nino Apiay Air Base,Medium airport,Apiay,Colombia,API,SKAP,
Apataki,Small airport,Apataki,French Polynesia,APK,NTGD,
Nampula,Medium airport,Nampula,Mozambique,APL,FQNP,
Alpena County Regional,Medium airport,Alpena,United States,APN,KAPN,APN
Antonio Roldan Betancourt,Medium airport,Carepa,Colombia,APO,SKLC,
Apartad?Closed,Closed,Apartad?Colombia,APO,,,
Asapa,Small airport,,Papua New Guinea,APP,,
Arapiraca,Small airport,Arapiraca,Brazil,APQ,SNAL,
April River,Small airport,April River,Papua New Guinea,APR,AYPE,
An?olis,Small airport,An?olis,Brazil,APS,SWNS,
Marion County Brown Field,Small airport,Jasper,United States,APT,KAPT,APT
Apucarana,Small airport,Apucarana,Brazil,APU,SSAP,
Apple Valley,Small airport,Apple Valley,United States,APV,KAPV,APV
Faleolo International,Medium airport,Apia,Samoa,APW,NSFA,
Arapongas,Small airport,Arapongas,Brazil,APX,SSOG,
Alto Parna?a,Small airport,Alto Parna?a,Brazil,APY,SNAI,
Zapala,Medium airport,Zapala,Argentina,APZ,SAHZ,
Araraquara,Medium airport,Araraquara,Brazil,AQA,SBAQ,
Santa Cruz del Quiche,Small airport,Santa Cruz del Quiche,Guatemala,AQB,MGQC,
Anqing Tianzhushan,Medium airport,Anqing,China,AQG,ZSAQ,
Al Qaisumah/Hafr Al Batin,Medium airport,Qaisumah,Saudi Arabia,AQI,OEPA,
Aqaba King Hussein International,Medium airport,Aqaba,Jordan,AQJ,OJAQ,
Nova Vida,Small airport,Ariquemes,Brazil,AQM,SWNI,
Rodr?uez Ball? International,Medium airport,Arequipa,Per?AQP,SPQU,,
Biaugunu잺losed,Closed,"Saqani, Cakaudrove",Fiji,AQS,NFBG,
Girdwood,Small airport,Girdwood,United States,AQY,,AQY
Acadiana Regional,Medium airport,New Iberia,United States,ARA,KARA,ARA
Ann Arbor Municipal,Small airport,Ann Arbor,United States,ARB,KARB,ARB
Arctic Village,Medium airport,Arctic Village,United States,ARC,PARC,ARC
Mali,Small airport,Alor Island,Indonesia,ARD,WATM,
Antonio Nery Juarbe Pol,Medium airport,Arecibo,Puerto Rico,ARE,TJAB,ABO
Acaricuara,Small airport,Acaricuara,Colombia,ARF,,
Walnut Ridge Regional,Small airport,Walnut Ridge,United States,ARG,KARG,ARG
Talagi,Medium airport,Archangelsk,Russia,ARH,ULAA,
Chacalluta,Medium airport,Arica,Chile,ARI,SCAR,
Arso,Small airport,Arso-Papua Island,Indonesia,ARJ,WAJA,
Arusha,Medium airport,Arusha,Tanzania,ARK,HTAR,
Arly,Small airport,Arly,Burkina Faso,ARL,DFER,
Armidale,Medium airport,Armidale,Australia,ARM,YARM,
Stockholm-Arlanda,Large airport,Stockholm,Sweden,ARN,ESSA,
Arboletes,Small airport,Arboletes,Colombia,ARO,,
Aragip,Small airport,,Papua New Guinea,ARP,,
El Troncal,Small airport,Arauquita,Colombia,ARQ,SKAT,
D. Casimiro Szlapelis,Small airport,Alto Rio Senguerr,Argentina,ARR,SAVR,
Watertown International,Medium airport,Watertown,United States,ART,KART,ART
Ara?tuba,Medium airport,Ara?tuba,Brazil,ARU,SBAU,
Lakeland-Noble F. Lee Memorial field,Small airport,Minocqua-Woodruff,United States,ARV,KARV,ARV
Arad International,Medium airport,Arad,Romania,ARW,LRAR,
Asbury Park Neptune Air Terminal잺losed,Closed,Asbury Park,United States,ARX,,
Ararat,Medium airport,,Australia,ARY,YARA,
N'zeto,Small airport,N'zeto,Angola,ARZ,FNZE,
Assab International,Medium airport,Asab,Eritrea,ASA,HHSB,
Ashgabat,Medium airport,Ashgabat,Turkmenistan,ASB,UTAA,
Ascenci? De Guarayos,Small airport,Ascensi? de Guarayos,Bolivia,ASC,SLAS,
Andros Town,Medium airport,,Bahamas,ASD,MYAF,
Aspen-Pitkin Co/Sardy Field,Medium airport,Aspen,United States,ASE,KASE,ASE
Astrakhan,Medium airport,Astrakhan,Russia,ASF,URWA,
Ashburton Aerodrome,Small airport,,New Zealand,ASG,NZAS,
Boire Field,Small airport,Nashua,United States,ASH,KASH,ASH
RAF Ascension Island,Medium airport,Ascension Island,Saint Helena,ASI,FHAW,
Amami,Medium airport,Amami,Japan,ASJ,RJKA,
Yamoussoukro,Medium airport,Yamoussoukro,C?e d'Ivoire,ASK,DIYO,
Harrison County,Small airport,Marshall,United States,ASL,KASL,ASL
Asmara International,Medium airport,Asmara,Eritrea,ASM,HHAS,
Talladega Municipal,Small airport,Talladega,United States,ASN,KASN,ASN
Asosa,Medium airport,Asosa,Ethiopia,ASO,HASO,
Alice Springs,Medium airport,Alice Springs,Australia,ASP,YBAS,
Austin,Small airport,Austin,United States,ASQ,KTMT,TMT
Kayseri Erkilet,Medium airport,Kayseri,Turkey,ASR,LTAU,
Astoria Regional,Medium airport,Astoria,United States,AST,KAST,AST
